tempo,algoritmo,quantidade
1.1920928955078125e-06,Bubble sort,10
1.1920928955078125e-06,Bubble sort,10
1.1920928955078125e-06,Bubble sort,10
1.430511474609375e-06,Bubble sort,10
1.430511474609375e-06,Bubble sort,10
1.430511474609375e-06,Bubble sort,10
1.6689300537109375e-06,Bubble sort,10
1.9073486328125e-06,Bubble sort,10
2.1457672119140625e-06,Bubble sort,10
7.867813110351562e-06,Bubble sort,10
0.00014138221740722656,Bubble sort,100
0.0001418590545654297,Bubble sort,100
0.00014209747314453125,Bubble sort,100
0.00014257431030273438,Bubble sort,100
0.00014257431030273438,Bubble sort,100
0.00014257431030273438,Bubble sort,100
0.0001430511474609375,Bubble sort,100
0.0001430511474609375,Bubble sort,100
0.00014781951904296875,Bubble sort,100
0.00019669532775878906,Bubble sort,100
0.010094642639160156,Bubble sort,1000
0.010648965835571289,Bubble sort,1000
0.010756254196166992,Bubble sort,1000
0.011083364486694336,Bubble sort,1000
0.011183738708496094,Bubble sort,1000
0.013072967529296875,Bubble sort,1000
0.014437198638916016,Bubble sort,1000
0.016902923583984375,Bubble sort,1000
0.023296833038330078,Bubble sort,1000
0.024581193923950195,Bubble sort,1000
1.4594075679779053,Bubble sort,10000
1.4623908996582031,Bubble sort,10000
1.4645380973815918,Bubble sort,10000
1.4669840335845947,Bubble sort,10000
1.4706707000732422,Bubble sort,10000
1.4816796779632568,Bubble sort,10000
1.4819602966308594,Bubble sort,10000
1.497368335723877,Bubble sort,10000
1.5207297801971436,Bubble sort,10000
2.6640307903289795,Bubble sort,10000
